name,pos_spotrac,age,luxury_tax_salary,cash_salary,payroll_salary,free_agent_year,group,steamer_war_total_2026
Mike Trout,RF,34,35541667,35450000,37116666,2031,Outfielder,0.0
Anthony Rendon,3B,36,35000000,38000000,38571432,2027,Infielder,0.0
Yusei Kikuchi,SP,35,21225000,21225000,21225000,2028,SP,0.0
Jorge Soler,RF,34,12131035,13000000,13000000,2027,Outfielder,0.576562
Robert Stephenson,RP,33,11000000,11000000,11000000,2027,RP,0.388229
Travis d'Arnaud,C,37,6000000,6000000,6000000,2027,Catcher,0.306815
Zach Neto,SS,25,5200000,5200000,5200000,2027,Infielder,3.61616
Jo Adell,CF,27,4500000,4500000,4500000,2027,Outfielder,1.73695
Jose Soriano,SP,27,3250000,3250000,3250000,2027,SP,3.0148
Logan O'Hoppe,C,26,2750000,2750000,2750000,2027,Catcher,0.863797
Reid Detmers,SP,26,2750000,2750000,2750000,2027,SP,2.0622
Brock Burke,RP,29,2000000,2000000,2000000,2027,RP,0.204326
Oswald Peraza,SS,26,820000,820000,820000,0,Infielder,0.353243
Grayson Rodriguez,SP,26,820000,820000,820000,0,SP,2.5
Kyren Paris,SS,24,820000,820000,820000,0,Infielder,0.0
Matthew Lugo,SS,25,820000,820000,820000,0,Infielder,0.0
Jack Kochanowicz,SP,25,820000,820000,820000,0,SP,0.0
Ryan Zeferjahn,RP,28,820000,820000,820000,0,RP,0.0
Cody Laweryson,RP,27,820000,820000,820000,0,RP,0.010554
Denzer Guzman,SS,22,820000,820000,820000,0,Infielder,0.460519
Sam Bachman,RP,26,820000,820000,820000,0,RP,0.0
Chase Silseth,RP,26,820000,820000,820000,0,RP,0.236428
Ben Joyce,RP,25,820000,820000,820000,0,RP,0.315431
Caden Dana,SP,22,820000,820000,820000,0,SP,0.0
Victor Mederos,RP,25,820000,820000,820000,0,RP,0.0
Nolan Schanuel,1B,24,820000,820000,820000,0,Infielder,2.05785
Mitch Farris,SP,25,820000,820000,820000,0,SP,0.0
Bryce Teodosio,CF,27,820000,820000,820000,0,Outfielder,0.0
Samuel Aldegheri,SP,24,820000,820000,820000,0,SP,0.0
Walbert Urena,RP,22,820000,820000,820000,0,RP,0.0
Christian Moore,2B,23,820000,820000,820000,0,Infielder,1.0266
Ryan Johnson,RP,23,820000,820000,820000,0,RP,0.45673
Jose Fermin,RP,24,820000,820000,820000,0,RP,0.0
