player,Team,Pos,Age,CASH_SALARY,TAX_SALARY,Future_Allocations,WAR_hit,WAR_pitch,war,trade_cost
Nolan Arenado  ,,3B,35,16000000.0,25555555.0,"$31,000,000 thru 2027",0.0,0.0,0.0,0.0
Tarik Skubal,,SP,29,22500000.0,22500000.0,"$22,500,000 thru 2026",0.0,0.0,0.0,0.0
Luis Severino  ,,SP,32,20500000.0,22833333.0,"$42,500,000 thru 2027",0.0,0.0,0.0,0.0
Luis Castillo  ,,SP,33,23750000.0,22600000.0,"$46,500,000 thru 2028",0.0,0.0,0.0,0.0
Sonny Gray  ,,SP,36,11000000.0,21000000.0,"$12,000,000 thru 2027",0.0,0.0,0.0,0.0
Luis Robert Jr.,,CF,28,20000000.0,20000000.0,"$20,000,000 thru 2027",0.0,0.0,0.0,0.0
Christian Walker,,1B,35,20000000.0,20000000.0,"$40,000,000 thru 2027",0.0,0.0,0.0,0.0
Nick Castellanos,,RF,34,20000000.0,20000000.0,"$20,000,000 thru 2026",0.0,0.0,0.0,0.0
Brandon Nimmo    ,,CF,33,20250000.0,20250000.0,"$97,250,000 thru 2030",0.0,0.0,0.0,0.0
Pablo López,,SP,30,21500000.0,18375000.0,"$43,000,000 thru 2027",0.0,0.0,0.0,0.0
Randy Arozarena,,LF,31,16000000.0,16000000.0,"$16,000,000 thru 2026",0.0,0.0,0.0,0.0
Mitch Keller,,SP,30,16500000.0,15400000.0,"$54,500,000 thru 2028",0.0,0.0,0.0,0.0
Kodai Senga  ,,SP,33,14000000.0,15000000.0,"$28,000,000 thru 2027",0.0,0.0,0.0,0.0
Byron Buxton  ,,CF,32,15000000.0,14285714.0,"$45,000,000 thru 2028",0.0,0.0,0.0,0.0
Bryan Reynolds,,RF,31,14000000.0,13343750.0,"$76,000,000 thru 2031",0.0,0.0,0.0,0.0
Brady Singer,,SP,29,13000000.0,13000000.0,"$13,000,000 thru 2026",0.0,0.0,0.0,0.0
Kyle Freeland,,SP,33,16000000.0,12900000.0,"$16,000,000 thru 2027",0.0,0.0,0.0,0.0
Jeff McNeil  ,,2B,34,16250000.0,13000000.0,"$18,250,000 thru 2027",0.0,0.0,0.0,0.0
Yandy Diaz,,1B,34,12000000.0,12000000.0,"$12,000,000 thru 2027",0.0,0.0,0.0,0.0
Jazz Chisholm,,2B,28,11700000.0,11700000.0,"$11,700,000 thru 2026",0.0,0.0,0.0,0.0
Brandon Lowe,,2B,31,11500000.0,11500000.0,"$11,500,000 thru 2026",0.0,0.0,0.0,0.0
Sandy Alcantara,,SP,30,17000000.0,11200000.0,"$19,000,000 thru 2027",0.0,0.0,0.0,0.0
Taylor Ward,,LF,32,11200000.0,11200000.0,"$11,200,000 thru 2026",0.0,0.0,0.0,0.0
