Player,Position,Age,Prev_Team,Prev_AAV,Market_Value,Arm,Type,AAV_cost
Alex Bregman,3B,31.6,BOS,"$40,000,000 ","$28,035,797 ",R,UFA,40000000.0
Pete Alonso,1B,30.9,NYM,"$27,000,000 ","$28,294,138 ",R,UFA,27000000.0
Cody Bellinger,CF,30.3,NYY,"$26,666,667 ","$30,449,698 ",L,UFA,26666667.0
Jordan Montgomery,SP,32.8,MIL,"$25,000,000 ","$2,648,427 ",L,UFA,25000000.0
J.T. Realmuto,C,34.7,PHI,"$23,100,000 ","$12,932,124 ",R,UFA,23100000.0
Nick Martinez,SP,35.2,CIN,"$21,050,000 ","$14,274,000 ",R,UFA,21050000.0
Chris Bassitt,SP,36.8,TOR,"$21,000,000 ","$15,554,188 ",R,UFA,21000000.0
Edwin Diaz QO,RP,31.7,NYM,"$20,400,000 ","$18,338,155 ",R,UFA,20400000.0
Kyle Schwarber QO,LF,32.7,PHI,"$19,750,000 ","$24,902,992 ",L,UFA,19750000.0
Starling Marte,RF,37.1,NYM,"$19,500,000 ","$7,783,563 ",R,UFA,19500000.0
Lucas Giolito,SP,31.3,BOS,"$19,250,000 ","$20,445,007 ",R,UFA,19250000.0
Framber Valdez QO,SP,32.0,HOU,"$18,800,000 ","$33,318,377 ",L,UFA,18800000.0
Miles Mikolas,SP,37.2,STL,"$18,583,333 ","$6,382,728 ",R,UFA,18583333.0
Michael Conforto,LF,32.7,LAD,"$17,000,000 ","$6,676,686 ",L,UFA,17000000.0
Rhys Hoskins,1B,32.7,MIL,"$17,000,000 ","$7,009,366 ",R,UFA,17000000.0
Kyle Tucker QO,RF,28.8,CHC,"$16,700,000 ","$40,179,471 ",L,UFA,16700000.0
Marcell Ozuna,DH,35.0,ATL,"$16,250,000 ","$13,708,008 ",R,UFA,16250000.0
Frankie Montas,SP,32.7,NYM,"$16,000,000 ","$6,476,812 ",R,UFA,16000000.0
David Robertson,RP,40.6,PHI,"$15,942,857 ","$6,252,558 ",R,UFA,15942857.0
Max Scherzer,SP,41.2,TOR,"$15,500,000 ","$8,972,300 ",R,UFA,15500000.0
Justin Verlander,SP,42.8,SF,"$15,000,000 ","$7,848,606 ",R,UFA,15000000.0
