Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.9556,8.9934,22.5888,2.81058,32,32,0,0,,199.765,797.146,160.057,68.4694,62.3839,20.3538,43.5537,0.3643,7.1201,242.335,10.9179,1.96222,5.56405,0.917,0.304003,0.054637,0.24936598911881447,0.214418,1.01925,0.288772,0.771727,0.423339,,2.79449,5.85914,5.79614,6,,,,,,,1149,5.745,1071,5.355,4.1,3.68,3.4,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.0035,9.6441,21.3027,2.9088,32,32,0,0,,193.982,785.032,157.64,68.9684,62.6948,17.5445,51.5688,0.5024,7.1666,236.861,10.9895,2.3926,4.59312,0.814,0.301722,0.0656901,0.23603204637765884,0.217046,1.0785,0.29688,0.759507,0.443686,,2.77718,5.68739,5.74041,10.4399995803833,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.27,3.83,3.54,3.3,3.1,2.91,2.72,2.51,2.25,3.74,3.54,3.39,3.28,3.17,3.07,2.97,2.85,2.69,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.494,9.0644,20.7599,3.01095,32,32,0,0,,192.855,773.587,157.432,70.6395,64.5197,19.5212,49.7123,0.4928,6.0046,238.804,11.1443,2.31993,4.80372,0.911,0.308697,0.0642621,0.24443494528532028,0.219304,1.07409,0.300103,0.759142,0.455553,,2.84123,5.59028,5.38187,10.329999923706055,,,,,,,1084,5.616580310880829,1015,5.259067357512953,4.38,3.93,3.64,3.4,3.2,3.01,2.81,2.6,2.34,3.83,3.63,3.49,3.38,3.27,3.17,3.07,2.95,2.8,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",12.954,9.9382,21.096,3.15572,32,32,0,0,,198.055,812.7,183.283,77.3451,69.4451,17.6489,50.0054,0.4957,6.6796,192.491,8.74717,2.27234,3.84941,0.802,0.236854,0.06153,0.1753239631652832,0.242434,1.1779,0.303429,0.747643,0.544945,,3.20839,4.69139,5.10095,32.779998779296875,,,,,,,981,4.954545454545454,969,4.893939393939394,4.61,4.16,3.86,3.63,3.42,3.23,3.03,2.81,2.54,4.03,3.83,3.7,3.59,3.49,3.4,3.3,3.18,3.03,"Cristopher Sanchez","20778",650911
"Jacob deGrom","TEX",12.0381,9.6435,18.2725,3.46414,30.78,30.78,0,0,,184.508,754.017,159.497,76.5696,71.0179,24.6831,41.4038,0.4637,5.6325,214.235,10.45,2.01961,5.17429,1.204,0.284125,0.054911,0.22921406850218773,0.225604,1.08885,0.288026,0.747433,0.378991,,3.3168,4.29739,3.66426,37.66999816894531,,,,,,,935.1,5.054594594594595,887,4.794594594594595,4.94,4.44,4.12,3.86,3.63,3.41,3.2,2.96,2.66,4.37,4.13,3.96,3.83,3.7,3.59,3.46,3.32,3.14,"Jacob deGrom","10954",594798
"Cole Ragans","KCR",11.7625,8.5964,17.6468,3.21847,29.16,29.16,0,0,,172.018,709.646,138.489,66.9504,61.515,17.8134,62.1593,0.5968,5.6282,210.505,11.0136,3.25218,3.38654,0.932,0.296634,0.087592,0.20904182642698288,0.215763,1.16644,0.291811,0.760903,0.399122,,3.2161,4.25593,4.34456,52.88999938964844,,,,,,,910.5999999999999,5.294186046511627,844,4.906976744186046,4.69,4.2,3.87,3.62,3.39,3.18,2.97,2.74,2.46,4.08,3.86,3.71,3.59,3.48,3.37,3.25,3.13,2.96,"Cole Ragans","21846",666142
"Chris Sale","ATL",11.9487,7.6029,17.7306,3.19315,27.54,27.54,0,0,,168.535,685.659,139.879,65.0077,59.7953,18.0894,44.2113,0.5232,8.6057,205.511,10.9746,2.36095,4.64838,0.966,0.299728,0.06448,0.23524784296751022,0.221033,1.0923,0.297598,0.750055,0.416999,,3.03184,4.14904,4.3124,30.889999389648438,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.45,3.34,3.23,3.11,2.95,"Chris Sale","10603",519242
"Logan Webb","SFG",12.4355,10.5597,20.7304,3.32126,32,32,0,0,,199.392,830.798,193.828,81.8613,73.5813,16.8154,46.9243,0.7552,6.0524,187.303,8.45434,2.11804,3.99159,0.759,0.225449,0.056481,0.16896802559494972,0.249193,1.20743,0.308543,0.731506,0.546891,,3.1498,4.06241,3.91011,55.66999816894531,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.81,3.6,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Sonny Gray","STL",12.2928,10.2253,18.9584,3.44955,32,32,0,0,,191.269,792.988,174.779,80.0485,73.3101,21.5496,48.5816,0.525,5.926,200.38,9.42873,2.28597,4.12461,1.014,0.25269,0.061264,0.1914260946214199,0.236674,1.16778,0.29664,0.741815,0.441691,,3.35947,3.956,3.86825,133.44000244140625,,,,,,,922.8000000000002,4.831413612565446,904,4.732984293193717,4.91,4.44,4.13,3.89,3.67,3.46,3.26,3.03,2.74,4.3,4.1,3.96,3.85,3.74,3.64,3.54,3.42,3.26,"Sonny Gray","12768",543243
"Zack Wheeler","PHI",10.9495,8.4072,17.0433,3.20374,27.54,27.54,0,0,,164.504,668.172,137.746,63.746,58.5586,19.0093,41.0805,0.5218,7.2951,189.9,10.3894,2.24751,4.62263,1.04,0.284208,0.0614819,0.2227260135114193,0.222244,1.08707,0.288977,0.756047,0.415543,,3.21081,3.94363,4.26418,126.11000061035156,,,,,,,864.5,5.239393939393939,814,4.933333333333334,4.66,4.17,3.85,3.6,3.38,3.17,2.96,2.74,2.45,4,3.81,3.68,3.57,3.47,3.37,3.27,3.15,3,"Zack Wheeler","10310",554430
